Year,Category,Film,Name,NomineeIds,winner,productora,distribuidor_1,distribuidor_2,distribuidor_3,distribuidor_4,distribuidor_5
2023,DIRECTING,Poor Things,Yorgos Lanthimos,nm0487166,0.0,"Element Pictures, Film4, Fruit Tree, Hungarian Tax Credit, Searchlight Pictures, TSG Entertainment",searchlight pictures,walt disney studios motion pictures,feelgood entertainment,forum hungary,"nos audiovisuais, press play pictures, searchlight pictures, walt disney company france, walt disney studios motion pictures argentina, walt disney studios motion pictures germany, walt disney studios motion pictures international, walt disney studios motion pictures, amazon prime video, apple tv+, hulu, sony pictures home entertainment, sony pictures home entertainment, the walt disney company iberia"
2023,DIRECTING,The Zone of Interest,Jonathan Glazer,nm0322242,0.0,"A24, Access Entertainment, Film4, JW Films, Extreme Emotions, House Productions, Polski Instytut Sztuki Filmowej, Silesian Film Fund",a24,a24,bac films,cinã©art,"cinã©art, diamond films, diamond films, diamond films, elã¡stica films, empire entertainment, filmcoopi zã¼rich, gutek film, leonine distribution, madman entertainment, madman films, sf film finland, spentzos films, alambique filmes, amazon prime video, apple tv+, bad unicorn, blaq out, blaq out, blaq out, cinemax, falcon pictures, hbo max, impact films, klikfilm, leonine distribution, leonine distribution, leonine distribution, mubi, madman entertainment, madman entertainment, max, wanda visiã³n"
2023,DOCUMENTARY FEATURE FILM,Bobi Wine: The People's President,"Moses Bwayo, Christopher Sharp and John Battsek","nm8400181,nm14109806,nm0061557",0.0,"National Geographic, Southern Films, Ventureland",national geographic documentary films,national geographic documentary films,disney+,,
2023,DOCUMENTARY FEATURE FILM,The Eternal Memory,Maite Alberdi,nm3073146,0.0,"Micromundo Producciones, Fabula, Corfo, Inmaat Productions, Chicken And Egg Pictures, UTA Independent Film Group",atnine film,bteam pictures,bodega films,cinemex,"dddream, dogwoof, dogwoof, golden scene, i wonder pictures, mtv documentary films, madman entertainment, madman entertainment, periscoop film, piffl medien, piffle, restart label, sherry media, synca creations, eurovideo, mtv documentary films, madman entertainment, madman films, paramount+"
2023,DOCUMENTARY FEATURE FILM,Four Daughters,Kaouther Ben Hania and Nadim Cheikhrouha,"nm4141599,nm2329106",0.0,"Tanit Films, CinÃ©tÃ©lÃ©films, Twenty Twenty Vision Filmproduktion GmbH, Centre national du cinÃ©ma et de l'image animÃ©e (CNC), MinistÃ¨re des Affaires Culturelles, Centre National du CinÃ©ma et de l'Image, Red Sea Film Festival Foundation, ZDF/Arte, Jour2FÃªte, Medienboard Berlin-Brandenburg, Sunnyland Film, Fonds Images de la Francophonie, The Berlinale World Cinema Fund, Kamel Lazaar Foundation for Art and Culture, Cairo Film Connection, Society of Authors, Composers and Publishers of Music (SACEM)",jour2fãªte,hakka distribution,kino lorber,trigon-film,"ama films, arthaus, bir film, camera film, caramel films, cinemanse, discovery+, i wonder pictures, mongrel media, new horizons, triart film, cinã©art, cinã©art, rapid eye movies, synapse distribution, vertigo international sro, bad unicorn, bã­ã³ paradã­s, chrysaor, falcon pictures, kino lorber, klikfilm, modern films, nitrato filmes, nitrato filmes, vertigo mã©dia kft"
2023,DOCUMENTARY FEATURE FILM,To Kill a Tiger,"Nisha Pahuja, Cornelia Principe and David Oppenheim","nm1263934,nm0697759,nm2361303",0.0,"Notice Pictures, National Film Board of Canada, AC Films, Minor Realm, ShivHans Pictures",national film board of canada (nfb),netflix india,netflix,notice pictures,
2023,DOCUMENTARY FEATURE FILM,20 Days in Mariupol,"Mstyslav Chernov, Michelle Mizner and Raney Aronson-Rath","nm13512939,nm2365390,nm1948067",1.0,"Frontline PBS, Associated Press",arthouse traffic,finnkino,synapse distribution,filmin,"front row filmed entertainment, madman entertainment, madman films, pbs distribution, venal virulent, vrijzinnig protestantse radio omroep (vpro), yleisradio (yle)"
2023,DOCUMENTARY SHORT FILM,The ABCs of Book Banning,Sheila Nevins and Trish Adlesic,"nm0627521,nm0012267",0.0,"MTV Documentary Films, Ruby River Productions",paramount+,mtv documentary films,youtube,,
2023,DOCUMENTARY SHORT FILM,The Barber of Little Rock,John Hoffman and Christine Turner,"nm0388968,nm1423114",0.0,"59th & Prairie Entertainment, Story Syndicate",the new yorker,,,,
2023,DOCUMENTARY SHORT FILM,Island in Between,S. Leo Chiang and Jean Tsien,"nm0156981,nm0874994",0.0,CNEX Studio,icarus films,icarus films,the new york times,,
2023,DOCUMENTARY SHORT FILM,The Last Repair Shop,Ben Proudfoot and Kris Bowers,"nm3988897,nm3929283",1.0,"Breakwater Studios, LA Times Studios, Searchlight Pictures, Time Studios",disney+,hulu,la times studios,searchlight pictures,youtube
2023,DOCUMENTARY SHORT FILM,Nai Nai & Wài Pó,Sean Wang and Sam Davis,"nm7648876,nm4085454",0.0,"Even Odd, Junk Drawer",disney branded television,disney+,,,
2023,FILM EDITING,Anatomy of a Fall,Laurent Sénéchal,nm1927930,0.0,"Les Films PellÃ©as, Les Films de Pierre, France 2 CinÃ©ma, Auvergne RhÃ´ne-Alpes CinÃ©ma, Canal+, CinÃ©+, France TÃ©lÃ©visions, Centre national du cinÃ©ma et de l'image animÃ©e (CNC), RÃ©gion Auvergne-RhÃ´ne-Alpes, RÃ©gion Nouvelle-Aquitaine, DÃ©partement de la Charente-Maritime, Cofinova 18, CinÃ©mage 17, IndÃ©films 11, CinÃ©cap 5, CinÃ©venture 7, CinÃ©venture 8",le pacte,anticipate pictures,diamond films,filmcoopi zã¼rich,"lionsgate, lionsgate, madman entertainment, madman films, neon, new cinema, picturehouse entertainment, picturehouse entertainment, plaion pictures, provzglyad, spentzos films, front row filmed entertainment, klikfilm, le pacte, le pacte, sayan pictures, diamond films, gaga, road pictures, amazon instant video, amazon prime video, film development council of the philippines, film1, hulu, lionsgate home entertainment, lionsgate home entertainment, magentatv, maxdome store, maxdome, nos audiovisuais, plaion pictures, plaion pictures, rakuten tv, sky store, the criterion collection, the criterion collection, videobusterde, videoload, itunes, klikfilm, falcon pictures"
2023,FILM EDITING,The Holdovers,Kevin Tent,nm0855188,0.0,"Miramax, Gran Via Productions, CAA Media Finance",focus features,united international pictures (uip),bein media group,bitters end,"cinemundo, tanweer alliances, united international pictures (uip), united international pictures, universal pictures argentina, universal pictures international (upi), universal pictures international (upi), universal pictures international (upi), universal pictures international (upi), universal pictures, amazon prime video, apple tv+, dazzler media, dazzler media, dazzler media, eagle films, peacock, shout! factory, studio distribution services (sds), studio distribution services (sds), universal pictures home entertainment (uphe), universal pictures home entertainment (uphe), universal pictures home entertainment, universal pictures home entertainment, universal pictures international (upi)"
2023,FILM EDITING,Killers of the Flower Moon,Thelma Schoonmaker,nm0774817,0.0,"Apple Studios, Imperative Entertainment, Sikelia Productions, Appian Way",paramount,gem entertainment,01 distribution,b&h film distribution,"feelgood entertainment, hkc entertainment, nos audiovisuais, paramount pictures australia, paramount pictures france, paramount pictures germany, paramount pictures international, paramount pictures spain, paramount pictures uk, paramount pictures, paramount pictures, paramount pictures, paramount pictures, the filmbridge, united international pictures (uip), united international pictures, universal pictures international (upi), amazon instant video, apple tv+, apple tv+, magentatv, maxdome store, maxdome, rakuten tv, sky store, videoload, youtube filme & tv, itunes"
2023,FILM EDITING,Oppenheimer,Jennifer Lame,nm2352780,1.0,"Universal Pictures, Atlas Entertainment, Gadget Films, Syncopy",universal,bitters end,cinemundo,finnkino,"tanweer alliances, united international pictures (uip), united international pictures, universal pictures argentina, universal pictures international (upi), universal pictures international (upi), universal pictures international (upi), universal pictures international (upi), universal pictures international (upi), universal pictures international (upi), universal pictures international (upi), universal pictures international (upi), universal pictures international (upi), amazon prime video, apple tv+, peacock, sf film finland, sf film finland, sf film finland, studio distribution services (sds), studio distribution services (sds), studio distribution services (sds), universal pictures home entertainment (uphe), universal pictures home entertainment (uphe), universal pictures home entertainment (uphe), universal pictures home entertainment, universal pictures home entertainment, universal pictures home entertainment, universal pictures home entertainment, universal pictures home entertainment, universal pictures home entertainment, universal sony pictures home entertainment, universal sony pictures home entertainment, universal sony pictures home entertainment"
2023,FILM EDITING,Poor Things,Yorgos Mavropsaridis,nm0561430,0.0,"Element Pictures, Film4, Fruit Tree, Hungarian Tax Credit, Searchlight Pictures, TSG Entertainment",searchlight pictures,walt disney studios motion pictures,feelgood entertainment,forum hungary,"nos audiovisuais, press play pictures, searchlight pictures, walt disney company france, walt disney studios motion pictures argentina, walt disney studios motion pictures germany, walt disney studios motion pictures international, walt disney studios motion pictures, amazon prime video, apple tv+, hulu, sony pictures home entertainment, sony pictures home entertainment, the walt disney company iberia"
2023,INTERNATIONAL FEATURE FILM,Io Capitano,Italy,,0.0,"Archimede, Rai Cinema, Tarantula, PathÃ©, Logical Content Ventures, Canal+, CinÃ©+, Radio TÃ©lÃ©vision Belge Francophone (RTBF), Voo & Be tv, Proximus, Ministero della Cultura (MiC), Centre du CinÃ©ma et de l'Audiovisuel de la FÃ©dÃ©ration Wallonie-Bruxelles, Shelter Prod, Taxshelter. be, Tax Shelter du Gouvernement FÃ©dÃ©ral Belge, Wallimage, Centre CinÃ©matographique Marocain, Regione Lazio",playgram,01 distribution,altitude film entertainment,altitude film entertainment,"bfparis, cohen media group, exponenta, panda lichtspiele filmverleih, pandora filmes, paradiso entertainment, paradiso entertainment, pathã© films, pathã©, svoe kino, vertigo mã©dia kft, weird wave, x verleih ag, alive vertrieb und marketing, alliance media & entertainment, caramel films, forthright media & entertainment pvt ltd, moving turtle, nos audiovisuais, the filmbridge, yleisradio (yle), youplanet pictures"
2023,INTERNATIONAL FEATURE FILM,Perfect Days,Japan,,0.0,"Master Mind, Spoon, Wenders Images",bitters end,haut et court,a-one films,anticipate pictures,"dcm film distribution, dcm pictures, maco, neon, neon, paradiso entertainment, paradiso entertainment, triart film, a contracorriente films, aerofilms, aerofilms, alambique filmes, applause, art fest, arthaus, arthaus, bad unicorn, cirko film, dddream, edko films, falcon pictures, feelgood entertainment, film1, gutek film, klikfilm, leonine distribution, leonine distribution, lev cinemas, lucky red, mubi, mubi, mubi, mubi, madman entertainment, madman films, moving turtle, remain in light, remain in light"
2023,INTERNATIONAL FEATURE FILM,Society of the Snow,Spain,,0.0,"El Arriero Films, MisiÃ³n de Audaces Films, S.L",24 bilder filmagentur,maco,nos audiovisuais,netflix,"o2 play, pimienta films, tripictures, netflix, netflix"
2023,INTERNATIONAL FEATURE FILM,The Teachers' Lounge,Germany,,0.0,"if... Productions, Zweites Deutsches Fernsehen (ZDF), ARTE",alamode film,alamode film,artificial eye,cinobo,"cinã©art, filmcoopi zã¼rich, madman entertainment, madman films, sony pictures classics, sony pictures releasing, tandem, alambique filmes, alamode film, alamode film, amazon instant video, amazon prime video, falcon pictures, google play, hbo latin america, klikfilm, magentatv, max, maxdome store, maxdome, moving turtle, rakuten tv, sky store, stan, videobusterde, videoload, youtube filme & tv, itunes"
2023,INTERNATIONAL FEATURE FILM,The Zone of Interest,United Kingdom,,1.0,"A24, Access Entertainment, Film4, JW Films, Extreme Emotions, House Productions, Polski Instytut Sztuki Filmowej, Silesian Film Fund",a24,a24,bac films,cinã©art,"cinã©art, diamond films, diamond films, diamond films, elã¡stica films, empire entertainment, filmcoopi zã¼rich, gutek film, leonine distribution, madman entertainment, madman films, sf film finland, spentzos films, alambique filmes, amazon prime video, apple tv+, bad unicorn, blaq out, blaq out, blaq out, cinemax, falcon pictures, hbo max, impact films, klikfilm, leonine distribution, leonine distribution, leonine distribution, mubi, madman entertainment, madman entertainment, max, wanda visiã³n"
2023,MAKEUP AND HAIRSTYLING,Golda,"Karen Hartley Thomas, Suzi Battersby and Ashra Kelly-Blue","nm0366857,nm3038497,nm12307106",0.0,"Embankment Films, Hianlo, Maven Screen Media, New Native Pictures, New Native Pictures, Piccadilly Pictures, Qwerty Films, ShivHans Pictures",ascot elite entertainment group,bleecker street media,cinemundo,diamond films,"diamond films, elevation pictures, exponenta, filmua distribution, shivhans pictures, the searchers, the searchers, united king films, vertical entertainment, weltkino filmverleih, front row filmed entertainment, leonine distribution, leonine distribution"
2023,MAKEUP AND HAIRSTYLING,Maestro,"Kazu Hiro, Kay Georgiou and Lori McCoy-Bell","nm0875308,nm0313789,nm0566776",0.0,"Sikelia Productions, Amblin Entertainment, Lea Pictures, Fred Berner Films, Netflix",24 bilder filmagentur,altitude film entertainment,ascot elite entertainment group,maco,"nos audiovisuais, netflix, o2 play, pimienta films, the film group, netflix, netflix"
2023,MAKEUP AND HAIRSTYLING,Oppenheimer,Luisa Abel,nm0008468,0.0,"Universal Pictures, Atlas Entertainment, Gadget Films, Syncopy",universal,bitters end,cinemundo,finnkino,"tanweer alliances, united international pictures (uip), united international pictures, universal pictures argentina, universal pictures international (upi), universal pictures international (upi), universal pictures international (upi), universal pictures international (upi), universal pictures international (upi), universal pictures international (upi), universal pictures international (upi), universal pictures international (upi), universal pictures international (upi), amazon prime video, apple tv+, peacock, sf film finland, sf film finland, sf film finland, studio distribution services (sds), studio distribution services (sds), studio distribution services (sds), universal pictures home entertainment (uphe), universal pictures home entertainment (uphe), universal pictures home entertainment (uphe), universal pictures home entertainment, universal pictures home entertainment, universal pictures home entertainment, universal pictures home entertainment, universal pictures home entertainment, universal pictures home entertainment, universal sony pictures home entertainment, universal sony pictures home entertainment, universal sony pictures home entertainment"
2023,MAKEUP AND HAIRSTYLING,Poor Things,"Nadia Stacey, Mark Coulier and Josh Weston","nm2854751,nm0183418,nm2095782",1.0,"Element Pictures, Film4, Fruit Tree, Hungarian Tax Credit, Searchlight Pictures, TSG Entertainment",searchlight pictures,walt disney studios motion pictures,feelgood entertainment,forum hungary,"nos audiovisuais, press play pictures, searchlight pictures, walt disney company france, walt disney studios motion pictures argentina, walt disney studios motion pictures germany, walt disney studios motion pictures international, walt disney studios motion pictures, amazon prime video, apple tv+, hulu, sony pictures home entertainment, sony pictures home entertainment, the walt disney company iberia"
2023,MAKEUP AND HAIRSTYLING,Society of the Snow,"Ana López-Puigcerver, David Martí and Montse Ribé","nm0529913,nm0554480,nm1556767",0.0,"El Arriero Films, MisiÃ³n de Audaces Films, S.L",24 bilder filmagentur,maco,nos audiovisuais,netflix,"o2 play, pimienta films, tripictures, netflix, netflix"
2023,MUSIC (Original Score),American Fiction,Laura Karpman,nm0440017,0.0,"3 Arts Entertainment, MRC Film, Media Rights Capital, Metro-Goldwyn-Mayer, Orion Pictures, T-Street",amazon mgm studios,artificial eye,warner bros,amazon prime video,yleisradio (yle)
2023,MUSIC (Original Score),Indiana Jones and the Dial of Destiny,John Williams,nm0002354,0.0,"Walt Disney Pictures, Lucasfilm, Paramount Pictures",walt disney studios motion pictures,feelgood entertainment,forum hungary,hkc entertainment,"kinomania, nos audiovisuais, walt disney studios motion pictures argentina, walt disney studios motion pictures finland, walt disney studios motion pictures germany, walt disney studios motion pictures international, walt disney studios motion pictures international, walt disney studios motion pictures international, walt disney studios motion pictures international, walt disney studios motion pictures international, walt disney studios motion pictures mexico, walt disney studios motion pictures, walt disney studios motion pictures, walt disney studios motion pictures, italia, westec media limited, disney+, amazon instant video, disney+, google play, magentatv, maxdome store, maxdome, rakuten tv, sf film finland, sky store, videoload, walt disney studios home entertainment, walt disney studios home entertainment, walt disney studios home entertainment, walt disney studios home entertainment, walt disney studios home entertainment, walt disney studios home entertainment, itunes, american broadcasting company (abc), youtube filme & tv"
2023,MUSIC (Original Score),Killers of the Flower Moon,Robbie Robertson,nm0005371,0.0,"Apple Studios, Imperative Entertainment, Sikelia Productions, Appian Way",paramount,gem entertainment,01 distribution,b&h film distribution,"feelgood entertainment, hkc entertainment, nos audiovisuais, paramount pictures australia, paramount pictures france, paramount pictures germany, paramount pictures international, paramount pictures spain, paramount pictures uk, paramount pictures, paramount pictures, paramount pictures, paramount pictures, the filmbridge, united international pictures (uip), united international pictures, universal pictures international (upi), amazon instant video, apple tv+, apple tv+, magentatv, maxdome store, maxdome, rakuten tv, sky store, videoload, youtube filme & tv, itunes"
2023,MUSIC (Original Score),Oppenheimer,Ludwig Göransson,nm3234869,1.0,"Universal Pictures, Atlas Entertainment, Gadget Films, Syncopy",universal,bitters end,cinemundo,finnkino,"tanweer alliances, united international pictures (uip), united international pictures, universal pictures argentina, universal pictures international (upi), universal pictures international (upi), universal pictures international (upi), universal pictures international (upi), universal pictures international (upi), universal pictures international (upi), universal pictures international (upi), universal pictures international (upi), universal pictures international (upi), amazon prime video, apple tv+, peacock, sf film finland, sf film finland, sf film finland, studio distribution services (sds), studio distribution services (sds), studio distribution services (sds), universal pictures home entertainment (uphe), universal pictures home entertainment (uphe), universal pictures home entertainment (uphe), universal pictures home entertainment, universal pictures home entertainment, universal pictures home entertainment, universal pictures home entertainment, universal pictures home entertainment, universal pictures home entertainment, universal sony pictures home entertainment, universal sony pictures home entertainment, universal sony pictures home entertainment"
2023,MUSIC (Original Score),Poor Things,Jerskin Fendrix,nm14930772,0.0,"Element Pictures, Film4, Fruit Tree, Hungarian Tax Credit, Searchlight Pictures, TSG Entertainment",searchlight pictures,walt disney studios motion pictures,feelgood entertainment,forum hungary,"nos audiovisuais, press play pictures, searchlight pictures, walt disney company france, walt disney studios motion pictures argentina, walt disney studios motion pictures germany, walt disney studios motion pictures international, walt disney studios motion pictures, amazon prime video, apple tv+, hulu, sony pictures home entertainment, sony pictures home entertainment, the walt disney company iberia"
2023,MUSIC (Original Song),Flamin' Hot,Music and Lyric by Diane Warren,nm0005534,0.0,"Franklin Entertainment, Searchlight Pictures",searchlight pictures,hulu,walt disney studios motion pictures,disney+,"disney+, disney+, tubi tv"
2023,MUSIC (Original Song),Barbie,Music and Lyric by Mark Ronson and Andrew Wyatt,"nm1053148,nm1961278",0.0,"Warner Bros., Heyday Films, LuckyChap, NBGG Pictures, Mattel Films, Canadian Film or Video Production Tax Credit (CPTC)",cinemundo,hkc entertainment,kinomania,tme films,"tanweer alliances, the filmbridge, warner bros pictures germany, warner bros pictures mexico, warner bros pictures, warner bros pictures, warner bros pictures, warner bros pictures, warner bros pictures, warner bros pictures, warner bros singapore, warner bros, warner bros, warner bros, warner bros, warner bros, warner bros, amazon instant video, google play, hbo 2, hbo max, magentatv, maxdome store, maxdome, rakuten tv, sky cinema family, sky cinema highlights, sky cinema premiere, sky cinema premieren +24, sky cinema premieren, sky cinema transformers, sky cinema, sky go, sky store, videoload, wow, warner bros home entertainment, warner bros home entertainment, warner bros home entertainment, warner bros home entertainment, warner bros home entertainment, warner bros home entertainment, warner bros home entertainment, warner bros home entertainment, warner bros home entertainment, youtube filme & tv, itunes"
2023,MUSIC (Original Song),American Symphony,Music and Lyric by Jon Batiste and Dan Wilson,"nm4456022,nm0933239",0.0,"Higher Ground Productions, Mercury Studios, Our Time Projects",netflix,netflix,,,
2023,MUSIC (Original Song),Killers of the Flower Moon,Music and Lyric by Scott George,nm15238867,0.0,"Apple Studios, Imperative Entertainment, Sikelia Productions, Appian Way",paramount,gem entertainment,01 distribution,b&h film distribution,"feelgood entertainment, hkc entertainment, nos audiovisuais, paramount pictures australia, paramount pictures france, paramount pictures germany, paramount pictures international, paramount pictures spain, paramount pictures uk, paramount pictures, paramount pictures, paramount pictures, paramount pictures, the filmbridge, united international pictures (uip), united international pictures, universal pictures international (upi), amazon instant video, apple tv+, apple tv+, magentatv, maxdome store, maxdome, rakuten tv, sky store, videoload, youtube filme & tv, itunes"
2023,MUSIC (Original Song),Barbie,Music and Lyric by Billie Eilish and Finneas O'Connell,"nm8483808,nm3906552",1.0,"Warner Bros., Heyday Films, LuckyChap, NBGG Pictures, Mattel Films, Canadian Film or Video Production Tax Credit (CPTC)",cinemundo,hkc entertainment,kinomania,tme films,"tanweer alliances, the filmbridge, warner bros pictures germany, warner bros pictures mexico, warner bros pictures, warner bros pictures, warner bros pictures, warner bros pictures, warner bros pictures, warner bros pictures, warner bros singapore, warner bros, warner bros, warner bros, warner bros, warner bros, warner bros, amazon instant video, google play, hbo 2, hbo max, magentatv, maxdome store, maxdome, rakuten tv, sky cinema family, sky cinema highlights, sky cinema premiere, sky cinema premieren +24, sky cinema premieren, sky cinema transformers, sky cinema, sky go, sky store, videoload, wow, warner bros home entertainment, warner bros home entertainment, warner bros home entertainment, warner bros home entertainment, warner bros home entertainment, warner bros home entertainment, warner bros home entertainment, warner bros home entertainment, warner bros home entertainment, youtube filme & tv, itunes"
2023,BEST PICTURE,American Fiction,"Ben LeClair, Nikos Karamigios, Cord Jefferson and Jermaine Johnson, Producers","nm1444110,nm5068841,nm6852255,nm3905822",0.0,"3 Arts Entertainment, MRC Film, Media Rights Capital, Metro-Goldwyn-Mayer, Orion Pictures, T-Street",amazon mgm studios,artificial eye,warner bros,amazon prime video,yleisradio (yle)
2023,BEST PICTURE,Anatomy of a Fall,"Marie-Ange Luciani and David Thion, Producers","nm4352455,nm0858196",0.0,"Les Films PellÃ©as, Les Films de Pierre, France 2 CinÃ©ma, Auvergne RhÃ´ne-Alpes CinÃ©ma, Canal+, CinÃ©+, France TÃ©lÃ©visions, Centre national du cinÃ©ma et de l'image animÃ©e (CNC), RÃ©gion Auvergne-RhÃ´ne-Alpes, RÃ©gion Nouvelle-Aquitaine, DÃ©partement de la Charente-Maritime, Cofinova 18, CinÃ©mage 17, IndÃ©films 11, CinÃ©cap 5, CinÃ©venture 7, CinÃ©venture 8",le pacte,anticipate pictures,diamond films,filmcoopi zã¼rich,"lionsgate, lionsgate, madman entertainment, madman films, neon, new cinema, picturehouse entertainment, picturehouse entertainment, plaion pictures, provzglyad, spentzos films, front row filmed entertainment, klikfilm, le pacte, le pacte, sayan pictures, diamond films, gaga, road pictures, amazon instant video, amazon prime video, film development council of the philippines, film1, hulu, lionsgate home entertainment, lionsgate home entertainment, magentatv, maxdome store, maxdome, nos audiovisuais, plaion pictures, plaion pictures, rakuten tv, sky store, the criterion collection, the criterion collection, videobusterde, videoload, itunes, klikfilm, falcon pictures"
2023,BEST PICTURE,Barbie,"David Heyman, Margot Robbie, Tom Ackerley and Robbie Brenner, Producers","nm0382268,nm3053338,nm3943537,nm0107509",0.0,"Warner Bros., Heyday Films, LuckyChap, NBGG Pictures, Mattel Films, Canadian Film or Video Production Tax Credit (CPTC)",cinemundo,hkc entertainment,kinomania,tme films,"tanweer alliances, the filmbridge, warner bros pictures germany, warner bros pictures mexico, warner bros pictures, warner bros pictures, warner bros pictures, warner bros pictures, warner bros pictures, warner bros pictures, warner bros singapore, warner bros, warner bros, warner bros, warner bros, warner bros, warner bros, amazon instant video, google play, hbo 2, hbo max, magentatv, maxdome store, maxdome, rakuten tv, sky cinema family, sky cinema highlights, sky cinema premiere, sky cinema premieren +24, sky cinema premieren, sky cinema transformers, sky cinema, sky go, sky store, videoload, wow, warner bros home entertainment, warner bros home entertainment, warner bros home entertainment, warner bros home entertainment, warner bros home entertainment, warner bros home entertainment, warner bros home entertainment, warner bros home entertainment, warner bros home entertainment, youtube filme & tv, itunes"
2023,BEST PICTURE,The Holdovers,"Mark Johnson, Producer",nm0425741,0.0,"Miramax, Gran Via Productions, CAA Media Finance",focus features,united international pictures (uip),bein media group,bitters end,"cinemundo, tanweer alliances, united international pictures (uip), united international pictures, universal pictures argentina, universal pictures international (upi), universal pictures international (upi), universal pictures international (upi), universal pictures international (upi), universal pictures, amazon prime video, apple tv+, dazzler media, dazzler media, dazzler media, eagle films, peacock, shout! factory, studio distribution services (sds), studio distribution services (sds), universal pictures home entertainment (uphe), universal pictures home entertainment (uphe), universal pictures home entertainment, universal pictures home entertainment, universal pictures international (upi)"
2023,BEST PICTURE,Killers of the Flower Moon,"Dan Friedkin, Bradley Thomas, Martin Scorsese and Daniel Lupi, Producers","nm6679051,nm0858554,nm0000217,nm0526917",0.0,"Apple Studios, Imperative Entertainment, Sikelia Productions, Appian Way",paramount,gem entertainment,01 distribution,b&h film distribution,"feelgood entertainment, hkc entertainment, nos audiovisuais, paramount pictures australia, paramount pictures france, paramount pictures germany, paramount pictures international, paramount pictures spain, paramount pictures uk, paramount pictures, paramount pictures, paramount pictures, paramount pictures, the filmbridge, united international pictures (uip), united international pictures, universal pictures international (upi), amazon instant video, apple tv+, apple tv+, magentatv, maxdome store, maxdome, rakuten tv, sky store, videoload, youtube filme & tv, itunes"
2023,BEST PICTURE,Maestro,"Bradley Cooper, Steven Spielberg, Fred Berner, Amy Durning and Kristie Macosko Krieger, Producers","nm0177896,nm0000229,nm0076681,nm1570573,nm1069736",0.0,"Sikelia Productions, Amblin Entertainment, Lea Pictures, Fred Berner Films, Netflix",24 bilder filmagentur,altitude film entertainment,ascot elite entertainment group,maco,"nos audiovisuais, netflix, o2 play, pimienta films, the film group, netflix, netflix"
2023,BEST PICTURE,Oppenheimer,"Emma Thomas, Charles Roven and Christopher Nolan, Producers","nm0858799,nm0746273,nm0634240",1.0,"Universal Pictures, Atlas Entertainment, Gadget Films, Syncopy",universal,bitters end,cinemundo,finnkino,"tanweer alliances, united international pictures (uip), united international pictures, universal pictures argentina, universal pictures international (upi), universal pictures international (upi), universal pictures international (upi), universal pictures international (upi), universal pictures international (upi), universal pictures international (upi), universal pictures international (upi), universal pictures international (upi), universal pictures international (upi), amazon prime video, apple tv+, peacock, sf film finland, sf film finland, sf film finland, studio distribution services (sds), studio distribution services (sds), studio distribution services (sds), universal pictures home entertainment (uphe), universal pictures home entertainment (uphe), universal pictures home entertainment (uphe), universal pictures home entertainment, universal pictures home entertainment, universal pictures home entertainment, universal pictures home entertainment, universal pictures home entertainment, universal pictures home entertainment, universal sony pictures home entertainment, universal sony pictures home entertainment, universal sony pictures home entertainment"
2023,BEST PICTURE,Past Lives,"David Hinojosa, Christine Vachon and Pamela Koffler, Producers","nm3065267,nm0882927,nm0463025",0.0,"A24, CJ ENM Co., Killer Films, 2AM",cj enm co,a24,arp sã©lection,cbi pictures,"gdh 559, galway film fleadh, garage play, shaw organisation, studiocanal germany, tanweer alliances, tuko film productions, axinite digicinema, arthaus, arthaus, elastica, european film market (efm), filmcoopi zã¼rich, gdh 559, happinet phantom studios, lucky red, scanbox entertainment, the searchers, the searchers, california filmes, exponenta, imagem films, nos audiovisuais, empire entertainment, netflix"
2023,BEST PICTURE,Poor Things,"Ed Guiney, Andrew Lowe, Yorgos Lanthimos and Emma Stone, Producers","nm0347384,nm1103466,nm0487166,nm1297015",0.0,"Element Pictures, Film4, Fruit Tree, Hungarian Tax Credit, Searchlight Pictures, TSG Entertainment",searchlight pictures,walt disney studios motion pictures,feelgood entertainment,forum hungary,"nos audiovisuais, press play pictures, searchlight pictures, walt disney company france, walt disney studios motion pictures argentina, walt disney studios motion pictures germany, walt disney studios motion pictures international, walt disney studios motion pictures, amazon prime video, apple tv+, hulu, sony pictures home entertainment, sony pictures home entertainment, the walt disney company iberia"
2023,BEST PICTURE,The Zone of Interest,"James Wilson, Producer",nm1034914,0.0,"A24, Access Entertainment, Film4, JW Films, Extreme Emotions, House Productions, Polski Instytut Sztuki Filmowej, Silesian Film Fund",a24,a24,bac films,cinã©art,"cinã©art, diamond films, diamond films, diamond films, elã¡stica films, empire entertainment, filmcoopi zã¼rich, gutek film, leonine distribution, madman entertainment, madman films, sf film finland, spentzos films, alambique filmes, amazon prime video, apple tv+, bad unicorn, blaq out, blaq out, blaq out, cinemax, falcon pictures, hbo max, impact films, klikfilm, leonine distribution, leonine distribution, leonine distribution, mubi, madman entertainment, madman entertainment, max, wanda visiã³n"
