Year;Category;Film;FilmId;Name;Productora;winner;dist_1;dist_2;dist_3;dist_4;dist_5;es_streaming
1997;MUSIC (Original Song);Anastasia;tt0118617;"Music by Stephen Flaherty; Lyric by Lynn Ahrens";Twentieth Century Fox, Fox Animation Studios, Twentieth Century Fox Animation, Fox Family Films, The Big Gun Project;0.0;twentieth century fox;fox;walt disney;hbo max;0;0
1997;MUSIC (Original Song);Good Will Hunting;tt0119217;Music and Lyric by Elliott Smith;Miramax, Lawrence Bender Productions, Be Gentlemen Limited Partnership, A Band Apart;0.0;miramax;united international pictures;hbo max;warner home video;0;0
1997;MUSIC (Original Song);Titanic;tt0120338;"Music by James Horner; Lyric by Will Jennings";Twentieth Century Fox, Paramount Pictures, Lightstorm Entertainment;1.0;twentieth century fox;paramount pictures;fox;warner bros;hbo max;1
1997;BEST PICTURE;As Good as It Gets;tt0119822;James L. Brooks, Bridget Johnson and Kristi Zea, Producers;TriStar Pictures, Gracie Films;0.0;columbia tristar film;columbia tristar films;columbia tristar home entertainment;columbia tristar home video;columbia tristar television;0
1997;BEST PICTURE;The Full Monty;tt0119164;Uberto Pasolini, Producer;Redwave Films, Channel Four Films, Twentieth Century Fox;0.0;fox;searchlight pictures;twentieth century fox;columbia tristar films;0;0
1997;BEST PICTURE;Good Will Hunting;tt0119217;Lawrence Bender, Producer;Miramax, Lawrence Bender Productions, Be Gentlemen Limited Partnership, A Band Apart;0.0;miramax;united international pictures;hbo max;warner home video;0;0
1997;BEST PICTURE;L.A. Confidential;tt0119488;Arnon Milchan, Curtis Hanson and Michael Nathanson, Producers;Regency Enterprises, New Regency Productions, The Wolper Organization, Warner Bros.;0.0;warner bros;warner bros pictures;warner home video;fox;0;0
1997;BEST PICTURE;Titanic;tt0120338;James Cameron and Jon Landau, Producers;Twentieth Century Fox, Paramount Pictures, Lightstorm Entertainment;1.0;twentieth century fox;paramount pictures;fox;warner bros;hbo max;1
1997;SHORT FILM (Animated);Famous Fred;tt0141005;Joanna Quinn;TVC London, Channel 4 Television Corporation, Sianel 4 Cymru, Sianel 4 Cymru;0.0;0;0;0;0;0;0
1997;SHORT FILM (Animated);Geri's Game;tt0131409;Jan Pinkava;Pixar Animation Studios;1.0;walt disney;0;0;0;0;0
1997;SHORT FILM (Animated);La Vieille Dame et les Pigeons (The Old Lady and the Pigeons);tt0127710;Sylvain Chomet;Les Productions Pascal Blais, Les Armateurs, Club d'Investissement M̩dia, Productions Django, Odec Kid Cartoons, Trans Europe Film, T̩l̩film Canada, Soci̩t̩ de D̩veloppement des Entreprises Culturelles (SODEC), Quebec Film and Television Tax Credit, Canadian Film or Video Production Tax Credit (CPTC), Centre national du cin̩ma et de l'image anim̩e (CNC), BBC Worldwide, BBC Bristol;0.0;0;0;0;0;0;0
