Year,Category,Film,Name,NomineeIds,winner,productora,distribuidor
1998,DOCUMENTARY (Feature),Dancemaker,"Matthew Diamond, Jerry Kupfer","nm0224683,nm0475465",0,Four Oaks Foundation,artistic license
1998,DOCUMENTARY (Feature),"The Farm: Angola, U.S.A.","Jonathan Stack, Liz Garbus","nm0821033,nm0305017",0,A+E Networks,a+e networks
1998,DOCUMENTARY (Feature),The Last Days,"James Moll, Ken Lipper","nm0002224,nm0513601",1,Ken Lipper/June Beallor production,october films
1998,DOCUMENTARY (Feature),Lenny Bruce: Swear to Tell the Truth,Robert B. Weide,nm0004332,0,HBO Documentary Films,home box office (hbo)
1998,DOCUMENTARY (Feature),Regret to Inform,"Barbara Sonneborn, Janet Cole","nm0814384,nm0170584",0,Sun Fountain Productions,artistic license
1998,DOCUMENTARY (Short Subject),The Personals: Improvisations on Romance in the Golden Years,Keiko Ibi,nm0406503,1,Keiko Films,fanlight productions
1998,DOCUMENTARY (Short Subject),A Place in the Land,Charles Guggenheim,nm0346549,0,0,0
1998,DOCUMENTARY (Short Subject),Sunrise over Tiananmen Square,"Shui-Bo Wang, Donald McWilliams","nm0911031,nm0574806",0,National Film Board of Canada,national film board of canada
1998,FILM EDITING,Life Is Beautiful,Simona Paggi,nm0656455,0,Melampo Cinematografica,ascot elite entertainment group
1998,FILM EDITING,Out of Sight,Anne V. Coates,nm0167613,0,Universal Pictures,universal
1998,FILM EDITING,Saving Private Ryan,Michael Kahn,nm0434883,1,Dreamworks Pictures,dreamworks distribution
1998,FILM EDITING,Shakespeare in Love,David Gamble,nm0303775,0,Universal Pictures,miramax
1998,FILM EDITING,The Thin Red Line,"Billy Weber, Leslie Jones, Saar Klein","nm0916502,nm0428655,nm0458964",0,Fox 2000 Pictures,twentieth century fox
1998,FOREIGN LANGUAGE FILM,Central Station,Brazil,,0,VideoFilmes,riofilme
1998,FOREIGN LANGUAGE FILM,Children of Heaven,Iran,,0,Kanun parvaresh fekri,ace pictures
1998,FOREIGN LANGUAGE FILM,The Grandfather,Spain,,0,Radio TelevisiÃ³n EspaÃ±ola,eurocine
1998,FOREIGN LANGUAGE FILM,Life Is Beautiful,Italy,,1,Melampo Cinematografica,ascot elite entertainment group
1998,FOREIGN LANGUAGE FILM,Tango,Argentina,,0,Adela Pictures,ascot elite entertainment group
1998,MAKEUP,Elizabeth,Jenny Shircore,nm0794246,1,Polygram Filmed Entertainment,universal pictures uk
1998,MAKEUP,Saving Private Ryan,"Lois Burwell, Conor O'Sullivan, Daniel C. Striepeke","nm0006627,nm0642745,nm0834475",0,Dreamworks Pictures,dreamworks distribution
1998,MAKEUP,Shakespeare in Love,"Lisa Westcott, Veronica Brebner","nm0922509,nm0106494",0,Universal Pictures,miramax
1998,MUSIC (Original Dramatic Score),Elizabeth,David Hirschfelder,nm0386595,0,Polygram Filmed Entertainment,universal pictures uk
1998,MUSIC (Original Dramatic Score),Life Is Beautiful,Nicola Piovani,nm0003607,1,Melampo Cinematografica,ascot elite entertainment group
1998,MUSIC (Original Dramatic Score),Pleasantville,Randy Newman,nm0005271,0,New Line Cinema,new line cinema
1998,MUSIC (Original Dramatic Score),Saving Private Ryan,John Williams,nm0002354,0,Dreamworks Pictures,dreamworks distribution
1998,MUSIC (Original Dramatic Score),The Thin Red Line,Hans Zimmer,nm0001877,0,Fox 2000 Pictures,twentieth century fox
1998,MUSIC (Original Musical or Comedy Score),A Bug's Life,Randy Newman,nm0005271,0,Walt Disney Pictures,buena vista pictures distribution
1998,MUSIC (Original Musical or Comedy Score),Mulan,Music by Matthew Wilder; Lyrics by David Zippel; Orchestral Score by Jerry Goldsmith,"nm0928607,nm0957138,nm0000025",0,Walt Disney Pictures,buena vista pictures distribution
1998,MUSIC (Original Musical or Comedy Score),Patch Adams,Marc Shaiman,nm0003299,0,Universal Pictures,universal
1998,MUSIC (Original Musical or Comedy Score),The Prince of Egypt,Music and Lyrics by Stephen Schwartz; Orchestral Score by Hans Zimmer,"nm0777451,nm0001877",0,Dreamworks Pictures,dreamworks distribution
1998,MUSIC (Original Musical or Comedy Score),Shakespeare in Love,Stephen Warbeck,nm0006339,1,Universal Pictures,miramax
1998,MUSIC (Original Song),Armageddon,Music and Lyric by Diane Warren,nm0005534,0,Touchstone Pictures,buena vista pictures distribution
1998,MUSIC (Original Song),Quest for Camelot,"Music by Carole Bayer Sager and David Foster; Lyric by Carole Bayer Sager, David Foster, Tony Renis and Alberto Testa","nm0004728,nm0287757,nm0719554,nm0856413",0,Warner Bros.,roadshow films
1998,MUSIC (Original Song),The Horse Whisperer,Music and Lyric by Allison Moorer and Gwil Owen,"nm0602070,nm1666203",0,Touchstone Pictures,buena vista pictures distribution
1998,MUSIC (Original Song),Babe: Pig in the City,Music and Lyric by Randy Newman,nm0005271,0,Kennedy Miller Productions,universal
1998,MUSIC (Original Song),The Prince of Egypt,Music and Lyric by Stephen Schwartz,nm0777451,1,Dreamworks Pictures,dreamworks distribution
1998,BEST PICTURE,Elizabeth,"Alison Owen, Eric Fellner and Tim Bevan, Producers","nm0654077,nm0271479,nm0079677",0,Polygram Filmed Entertainment,universal pictures uk
1998,BEST PICTURE,Life Is Beautiful,"Elda Ferri and Gianluigi Braschi, Producers","nm0274754,nm0105346",0,Melampo Cinematografica,ascot elite entertainment group
1998,BEST PICTURE,Saving Private Ryan,"Steven Spielberg, Ian Bryce, Mark Gordon and Gary Levinsohn, Producers","nm0000229,nm0117290,nm0330428,nm0506013",0,Dreamworks Pictures,dreamworks distribution
1998,BEST PICTURE,Shakespeare in Love,"David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick and Marc Norman, Producers","nm0661406,nm0317642,nm0005544,nm0001880,nm0635565",1,Universal Pictures,miramax
1998,BEST PICTURE,The Thin Red Line,"Robert Michael Geisler, John Roberdeau and Grant Hill, Producers","nm0312059,nm0730535,nm0384294",0,Fox 2000 Pictures,twentieth century fox
1998,SHORT FILM (Animated),Bunny,Chris Wedge,nm0917188,1,Blue Sky Studios,twentieth century fox
1998,SHORT FILM (Animated),The Canterbury Tales,"Christopher Grace, Jonathan Myerson","nm0333333,nm0616902",0,BBC Wales,british broadcasting corporation (bbc)
1998,SHORT FILM (Animated),Jolly Roger,Mark Baker,nm0048735,0,Astley Baker Davies Ltd.,channel four
